,interest,vaccancy,cpi,price,value,adj_price
2014-09-20,4.23,7.4,237.477,209000.0,188686.33707932252,88008.5229306417
2014-09-27,4.2,7.4,237.477,200500.0,188686.33707932252,84429.22893585484
2014-10-04,4.19,7.0,237.43,201500.0,188281.1978352953,84867.11872973086
2014-10-11,4.12,7.0,237.43,205000.0,188281.1978352953,86341.23741734405
2014-10-18,3.97,7.0,237.43,190000.0,188281.1978352953,80023.5858990018
2014-10-25,3.92,7.0,237.43,190000.0,188281.1978352953,80023.5858990018
2014-11-01,3.98,7.0,237.43,190000.0,187715.03148333324,80023.5858990018
2014-11-08,4.02,7.0,236.983,199000.0,187715.03148333324,83972.2680529827
2014-11-15,4.01,7.0,236.983,190000.0,187715.03148333324,80174.5272867674
2014-11-22,3.99,7.0,236.983,197500.0,187715.03148333324,83339.31125861348
2014-12-06,3.89,7.0,236.252,185000.0,186419.89507898403,78306.21539711833
2014-12-13,3.93,7.0,236.252,203750.0,186419.89507898403,86242.65614682627
2014-12-20,3.8,7.0,236.252,202000.0,186419.89507898403,85501.92167685353
2015-01-03,3.87,7.1,234.747,175000.0,184521.02417952952,74548.34353580663
2015-01-10,3.73,7.1,234.747,182500.0,184521.02417952952,77743.27254448406
2015-01-17,3.66,7.1,234.747,187000.0,184521.02417952952,79660.22994969052
2015-01-24,3.63,7.1,234.747,195000.0,184521.02417952952,83068.1542256131
2015-01-31,3.66,7.1,234.747,181001.0,184521.02417952952,77104.71273328307
2015-02-07,3.59,7.1,235.342,178000.0,182845.82187625556,75634.60835719931
2015-02-14,3.69,7.1,235.342,178750.0,182845.82187625556,75953.29350477178
2015-02-21,3.76,7.1,235.342,187250.0,182845.82187625556,79565.05851059308
2015-02-28,3.8,7.1,235.342,185000.0,182845.82187625556,78609.00306787569
2015-03-07,3.75,7.1,235.976,194450.0,184021.0006608284,82402.44770654643
2015-03-14,3.86,7.1,235.976,190000.0,184021.0006608284,80516.66271146218
2015-03-21,3.78,7.1,235.976,200000.0,184021.0006608284,84754.38180153913
