,interest,vaccancy,cpi,price,value,adj_price
2014-06-28,4.14,7.5,237.231,204500.0,172310.79952094634,86202.89928382041
2014-07-05,4.12,7.4,237.498,203000.0,174133.95950276614,85474.40399498101
2014-07-12,4.15,7.4,237.498,200000.0,174133.95950276614,84211.23546303548
2014-07-19,4.13,7.4,237.498,203000.0,174133.95950276614,85474.40399498101
2014-07-26,4.13,7.4,237.498,197093.0,174133.95950276614,82987.22515558025
2014-08-02,4.12,7.4,237.498,200000.0,174908.56592296995,84211.23546303548
2014-08-09,4.14,7.4,237.46,199000.0,174908.56592296995,83803.58797271119
2014-08-16,4.12,7.4,237.46,198500.0,174908.56592296995,83593.02619388528
2014-08-23,4.1,7.4,237.46,197000.0,174908.56592296995,82961.34085740756
2014-08-30,4.1,7.4,237.46,200000.0,174908.56592296995,84224.711530363
2014-09-06,4.1,7.4,237.477,192500.0,175204.80389922977,81060.48164664368
2014-09-13,4.12,7.4,237.477,194000.0,175204.80389922977,81692.12176337077
2014-09-20,4.23,7.4,237.477,190536.0,175204.80389922977,80233.45418714233
2014-09-27,4.2,7.4,237.477,189000.0,175204.80389922977,79586.65470761378
2014-10-04,4.19,7.0,237.43,190000.0,174852.61040604507,80023.5858990018
2014-10-11,4.12,7.0,237.43,189900.0,174852.61040604507,79981.46822221286
2014-10-18,3.97,7.0,237.43,190000.0,174852.61040604507,80023.5858990018
2014-10-25,3.92,7.0,237.43,187500.0,174852.61040604507,78970.6439792781
2014-11-01,3.98,7.0,237.43,190000.0,174881.1223352768,80023.5858990018
2014-11-08,4.02,7.0,236.983,187000.0,174881.1223352768,78908.61369802896
2014-11-15,4.01,7.0,236.983,191500.0,174881.1223352768,80807.48408113663
2014-11-22,3.99,7.0,236.983,192900.0,174881.1223352768,81398.24375588122
2014-12-06,3.89,7.0,236.252,191000.0,174707.8733512369,80845.87643702487
2014-12-13,3.93,7.0,236.252,191000.0,174707.8733512369,80845.87643702487
2014-12-20,3.8,7.0,236.252,195500.0,174707.8733512369,82750.62221695477
2015-01-03,3.87,7.1,234.747,186000.0,174121.80914577667,79234.2394152002
2015-01-10,3.73,7.1,234.747,190000.0,174121.80914577667,80938.20155316147
2015-01-17,3.66,7.1,234.747,188000.0,174121.80914577667,80086.22048418084
2015-01-24,3.63,7.1,234.747,184900.0,174121.80914577667,78765.64982726083
